function,optimizer,lr,saddle_id,saddle_x,saddle_y,lambda_min,r_escape,r_diverge,SEE_basic,SEE_basic_CI_lo,SEE_basic_CI_hi,SEE_quality,SEE_quality_CI_lo,SEE_quality_CI_hi,P_escape,P_quality,diverge_rate,stuck_rate,tau_escape_mean,tau_quality_mean,wilcoxon_p_vs_best,cohens_d_vs_best
Rastrigin,Adam,0.1,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12,,1.0,0.6352723202587333
Rastrigin,AdamW,0.01,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8474576271186441,0.746268656716418,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.18,,1.0,0.6427553737175448
Rastrigin,AdamW,0.1,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12,,1.0,0.6427553737175448
Rastrigin,RMSProp,0.01,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12,,,0.0
Rastrigin,RMSProp,0.1,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12,,,0.0
Rastrigin,AdaGrad,0.01,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8474576271186441,0.746268656716418,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.18,,1.0,0.6263264681420684
Rastrigin,AdaGrad,0.1,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12,,1.0,0.6263264681420684
Rastrigin,SGD_momentum,0.01,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.86,0.0,1.12,,1.0,1.0338275293798702
Rastrigin,SGD_momentum,0.1,2,4.974691390876903,-4.522993659580354,-388.67125722364085,0.02536172512096877,7.240773439350247,0.8928571428571428,0.8333333333333334,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.12,,1.0,1.0338275293798702
Styblinski_Tang,GD_fixed,0.01,0,0.15673125678045569,-2.9035340277713004,-15.852611878888114,0.12557973931706612,7.0710678118654755,0.07633587786259542,0.06450169127959739,0.09297187346566599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.1,,1.0,0.9278462723283628
