function,dim,k,optimizer,lr,lambda_min,r_escape,r_diverge,SEE_basic,SEE_basic_CI_lo,SEE_basic_CI_hi,SEE_quality,SEE_quality_CI_lo,SEE_quality_CI_hi,P_escape,P_quality,diverge_rate,stuck_rate,tau_escape_mean,tau_quality_mean
Synthetic_k5,10,5,AdamW,0.1,-2.0,0.35355330220495923,15.811388300841898,0.3846153846153846,0.36231884057971014,0.4098360655737705,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6,
Synthetic_k5,10,5,RMSProp,0.1,-2.0,0.35355330220495923,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,
Synthetic_k5,10,5,AdaGrad,0.1,-2.0,0.35355330220495923,15.811388300841898,0.3846153846153846,0.36231884057971014,0.4098360655737705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,
Synthetic_k5,10,5,SGD_momentum,0.1,-2.0,0.35355330220495923,15.811388300841898,0.1798561151079137,0.17301038062283736,0.1872835177832221,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.56,
Styblinski_nD,10,2,GD_fixed,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.38759689922480617,0.36764705882352944,0.4132231404958678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.58,
Styblinski_nD,10,2,Adam,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,
Styblinski_nD,10,2,AdamW,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,
Styblinski_nD,10,2,RMSProp,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,
Styblinski_nD,10,2,AdaGrad,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,
Styblinski_nD,10,2,SGD_momentum,0.1,-15.853330016241511,0.1255768949771963,15.811388300841898,0.35714285714285715,0.33327814569536424,0.3969047619047619,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.8,
